bodyId,class,type,instance,somaSide
57460,Kenyon_Cell,KCg-d,KCg-d_R,R
57498,Kenyon_Cell,KCg-d,KCg-d_R,R
57532,Kenyon_Cell,KCg-m,KCg-m_R,R
57545,Kenyon_Cell,KCg-d,KCg-d_R,R
57550,Kenyon_Cell,KCg-d,KCg-d_R,R
57568,Kenyon_Cell,KCg-m,KCg-m_R,R
57661,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
57669,Kenyon_Cell,KCg-m,KCg-m_R,R
57673,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
57684,Kenyon_Cell,KCg-m,KCg-m_R,R
57729,Kenyon_Cell,KCab-s,KCab-s_R,R
57770,Kenyon_Cell,KCg-m,KCg-m_L,L
57796,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
57806,Kenyon_Cell,KCg-m,KCg-m_L,L
57865,Kenyon_Cell,KCab-p,KCab-p_R,R
57879,Kenyon_Cell,KCab-s,KCab-s_R,R
57902,Kenyon_Cell,KCab-s,KCab-s_L,L
57977,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
57978,Kenyon_Cell,KCg-m,KCg-m_R,R
58013,Kenyon_Cell,KCg-m,KCg-m_R,R
58014,Kenyon_Cell,KCg-m,KCg-m_R,R
58058,Kenyon_Cell,KCg-m,KCg-m_L,L
58097,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
58111,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
58130,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
58169,Kenyon_Cell,KCab-p,KCab-p_R,R
58183,Kenyon_Cell,KCg-m,KCg-m_R,R
58275,Kenyon_Cell,KCab-s,KCab-s_L,L
58295,Kenyon_Cell,KCab-p,KCab-p_R,R
58387,Kenyon_Cell,KCab-s,KCab-s_L,L
58401,MBON,MBON15,MBON15(a'1)_R,R
58471,Kenyon_Cell,KCg-m,KCg-m_L,L
58487,Kenyon_Cell,KCg-m,KCg-m_R,R
58501,Kenyon_Cell,KCg-d,KCg-d_R,R
58524,Kenyon_Cell,KCg-d,KCg-d_R,R
58570,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
58586,Kenyon_Cell,KCg-m,KCg-m_R,R
58662,Kenyon_Cell,KCab-s,KCab-s_L,L
58782,Kenyon_Cell,KCg-d,KCg-d_R,R
58802,Kenyon_Cell,KCg-d,KCg-d_L,L
58805,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
58884,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
